baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000116017.10	1201.40437866411	-3.40596960576304	0.120583905042038	1.13716639721562e-176	2.14272121062946e-174	ARID3A	protein_coding
ENSG00000116574.5	1589.44712781045	-2.36484884067136	0.0837208156739149	1.56730824493668e-176	2.93050473151353e-174	RHOU	protein_coding
ENSG00000058091.16	769.511443022372	-3.94386209557272	0.139719451694825	2.3316347495079e-176	4.32633937834263e-174	CDK14	protein_coding
ENSG00000089356.18	33855.5697858738	1.64703617382472	0.0582287555189226	2.81118385120853e-176	5.17662468722166e-174	FXYD3	protein_coding
ENSG00000126247.10	23964.3193933266	1.09425246351913	0.0387982306735751	1.62568695807518e-175	2.97109570601004e-173	CAPNS1	protein_coding
ENSG00000053501.12	2359.1013561657	2.09461170010385	0.0744255490322196	3.52331697268272e-175	6.391139227985e-173	USE1	protein_coding
ENSG00000150347.15	1216.58026802637	-2.47676373102	0.0886456568556381	9.50631033415112e-173	1.71162877994231e-170	ARID5B	protein_coding
ENSG00000181019.12	28609.7303834325	1.32835513341448	0.0475461838121589	2.15857926243778e-172	3.85798427441729e-170	NQO1	protein_coding
ENSG00000082438.15	1843.79341910769	-2.30392838818411	0.0828122360021835	2.62233416251817e-171	4.652633320316e-169	COBLL1	protein_coding
ENSG00000088448.14	2695.37285005648	2.05463259506363	0.0739803907376178	1.32398983878584e-170	2.33204500082373e-168	ANKRD10	protein_coding
ENSG00000198121.13	1521.33329714209	2.27488430515399	0.0820790522744697	4.31499935607834e-170	7.54566110418677e-168	LPAR1	protein_coding
ENSG00000139263.11	1607.55371348216	-2.72633315454051	0.0986089465540628	2.9195932959773e-169	5.06903958895144e-167	LRIG3	protein_coding
ENSG00000105323.16	13480.451239431	-1.17385612295622	0.0425935418755104	9.62850516452246e-168	1.65985868818473e-165	HNRNPUL1	protein_coding
ENSG00000106211.8	28091.1886760601	-1.40294554367348	0.0509972255649102	9.84471652089346e-168	1.68517974981238e-165	HSPB1	protein_coding
ENSG00000112249.13	3687.02264965481	-1.53078324035715	0.0558072718508167	2.21937234424963e-166	3.77246738263467e-164	ASCC3	protein_coding
ENSG00000123240.16	4337.59714658676	1.65994308355	0.0606561156769748	1.06910433416277e-165	1.80463326739545e-163	OPTN	protein_coding
ENSG00000105171.9	3761.05737075379	1.77227870049139	0.064843716100796	2.40132420691971e-165	4.02544741362741e-163	POP4	protein_coding
ENSG00000112297.14	4867.7541497952	-1.51494091302017	0.0554161003181346	2.83920953637714e-165	4.72689494525474e-163	AIM1	protein_coding
ENSG00000204941.13	1011.0564236987	-3.89969660068702	0.142900853191216	3.8168053651064e-165	6.31123047684634e-163	PSG5	protein_coding
ENSG00000101290.13	4379.5560215585	1.52617248678609	0.0559179087280268	9.93631352181785e-165	1.63190522145153e-162	CDS2	protein_coding
ENSG00000136111.12	2036.77846388088	2.41165567509304	0.0886428285595585	6.87625030058593e-164	1.12175178561303e-161	TBC1D4	protein_coding
ENSG00000159200.17	2568.99510840439	-1.89694071690119	0.0697844695570697	1.29478174128263e-163	2.09815065235712e-161	RCAN1	protein_coding
ENSG00000206503.12	6865.59475153159	1.54537300062358	0.0570497008122506	2.29966120696876e-162	3.70184536144302e-160	HLA-A	protein_coding
ENSG00000170017.12	16217.9220296406	1.56938523043395	0.0584598600776068	1.9883437391568e-159	3.17964942550554e-157	ALCAM	protein_coding
ENSG00000198431.15	31481.4191778829	1.61298822717636	0.0600609114021541	2.28716496247714e-159	3.63360253221776e-157	TXNRD1	protein_coding
ENSG00000050165.17	2173.9698531071	2.17759997118081	0.0812965217535209	4.52428717366664e-159	7.14102911235812e-157	DKK3	protein_coding
